Unnamed: 0,번호,제목,저자,출판사,출판일
,66,"Big Data Is the current campaign concerning Big Data a pipe dream or can it unleash huge gains in turbine design, operations, maintenance and reliability?","Robb, D.",BUSINESS JOURNALS INC,2013
,67,"Big Data‐Savvy Teams' Skills, Big Data‐Driven Actions and Business Performance","Akhtar, Pervaiz; Frynas, Jędrzej George; Mellahi, Kamel; Ullah, Subhan",John Wiley & Sons Ltd,2019
,68,Big Data for Big Legal Research Questions: How Legal-Analytics Databases Allow Reference Law Librarians to Meet Increasing Demand for More Comprehensive Information at More Efficient Rates,"Masarek, Adam M.",Taylor & Francis,2019
,69,Big data solar power forecasting based on deep learning and multiple data sources,"Torres, José F.; Troncoso, Alicia; Koprinska, Irena; Wang, Zheng; Martínez‐Álvarez, Francisco",John Wiley & Sons Ltd,2019
,70,Big Data and Its Utility in Social Work: Learning from the Big Data Revolution in Business and Healthcare,"Zetino, Jeffrey; Mendoza, Natasha",Taylor and Francis,2019
,71,Big data in radiation biology and epidemiology; an overview of the historical and contemporary landscape of data and biomaterial archives,"Schofield, Paul N.; Kulka, Ulrike; Tapio, Soile; Grosche, Bernd",Informa Healthcare,2019
,72,Big Data for a Big Problem: Precision Medicine of Stroke in Neurocritical Care,"Liebeskind, D.S.",unknown,2018
,73,"Big Data, Big Storage",unknown,CW COMMUNICATIONS INC.,2013
,74,"Big Data Analytics, Big Financial Institutions, and Big Money Fraud Litigation","Debenham,  David",CARSWELL,2017
,75,Big Data: The Fourth Data Management Generation,"Watson, H.J.; Marjanovic, O.",The Data Warehouse Institute,2013
,76,"Data, Not Dogma: Big Data, Open Data, and the Opportunities Ahead","Hand, D.J.",SPRINGER-VERLAG,2013
,77,"``Big data'' and device reprocessing among FDA's device science goals - FDA's device Center Science Council wants to leverage so-called big data and evidence from real-world clinical experience, improve reprocessing of reusable medical devices, and enhance use of health information technology and device cybersecurity, among other FY 2016 regulatory science goals",unknown,Elsevier Business Inteligence,2015
,78,"Big Data, not Magic Data","Earls, M.; Bentley, A.",NTC PUBLICATIONS,2013
,79,Big data and talent management: Using hard data to make the soft stuff easy,"Russell, C.; Bennett, N.","Elsevier Science B.V., Amsterdam.",2015
,80,Big Data Approaches to Phenotyping Acute Ischemic Stroke Using Automated Lesion Segmentation of Multi-Center Magnetic Resonance Imaging Data,"Wu, Ona; Winzeck, Stefan; Giese, Anne-Katrin; Hancock, Brandon L.; Etherton, Mark R.; Bouts, Mark J.R.J.; Donahue, Kathleen; Schirmer, Markus D.; Irie, Robert E.; Mocking, Steven J.T.; McIntosh, Elissa C.; Bezerra, Raquel; Kamnitsas, Konstantinos; Frid, P",American Heart Association; Lippincott Williams and Wilkins,2019
,81,Data-driven stochastic robust optimization: General computational framework and algorithm leveraging machine learning for optimization under uncertainty in the big data era,"Ning, Chao; You, Fengqi","Elsevier Science B.V., Amsterdam.",2018
,82,"BIG DATA The biggest shake-up in data laws in two decades, the General Data Protection Regulation, is just four months away. If you haven't already, you need to be getting your head round it","Crossman,  Howard; Aschettino,  Leah",INSTITUTE OF LIGHTING ENGINEERS,2018
,83,Big Data and the Big Questions Surrounding Vesicoureteral Reflux Management,"Garcia-Roig, Michael; Kirsch, Andrew J.",ELSEVIER SCIENCE B.V. AMSTERDAM,2018
,84,Big Data and Big Numbers,"White, S. M.; Moppett, I. K.; Griffiths, R.",Blackwell Publishing Ltd,2014
,85,Big Data Processing With Minimal Delay and Guaranteed Data Resolution in Disaster Areas,unknown,IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,86,Big Data-Based Improved Data Acquisition and Storage System for Designing Industrial Data Platform,unknown,IEEE,2019
,87,"Data Science, Predictive Analytics, and Big Data in Supply Chain Management: Current State and Future Potential","Schoenherr, T.; Speier-Pero, C.",COUNCIL OF LOGISTICTS MANAGEMENT,2015
,88,Data-Driven Mary Hammon explains how to leverage the potential of big data-in Planning Practice,unknown,APA AMERICAN PLANNING ASSOCIATION,2015
,89,Data mining of unstructured big data in cloud computing,"Reshmy, A.K.; Paulraj, D.",Inderscience,2018
,90,"Data warehousing and OLAP over Big Data: a survey of the state-of-the-art, open problems and future challenges","Cuzzocrea, Alfredo",Inderscience,2015
,91,Big Data Quality Assurance Through Data Traceability: A Case Study of the National Standard Reference Data Program of Korea,unknown,IEEE,2019
,92,"Big data, big problems: causation, confounders and cohorts","Choi, S. W.; Wong, G. T.",John Wiley & Sons Ltd,2018
,93,BIG DATA Making better use of data offers numerous ways to add value to a company's activities,unknown,PHARMACEUTICAL MARKETING,2014
,94,Data dangers Why big data is in the sights of EU regulators,unknown,CASPIAN PUBLISHING,2013
,95,Big data! Big deal?,"Mackie, P.; Sim, F.; Johnman, C.","Elsevier Science B.V., Amsterdam",2015
,96,Big data analytics sentiment: US-China reaction to data collection by business and government,"LaBrie, Ryan C.; Steinke, Gerhard H.; Li, Xiangmin; Cazier, Joseph A.","Elsevier Science B.V., Amsterdam.",2018
,97,"Big Data In the first of three articles on Big Data, Jonathan Kettleborough provides an introduction to BD and its role within L&amp;D",unknown,FENMAN LTD,2014
,98,Big data driven lithium-ion battery modeling method based on SDAE-ELM algorithm and data pre-processing technology,"Li, Shuangqi; He, Hongwen; Li, Jianwei","Elsevier Science B.V., Amsterdam.",2019
,99,Big data in multiple sclerosis: development of a web-based longitudinal study viewer in an imaging informatics-based eFolder system for complex data analysis and management [9418-40],unknown,The Society,2015
,100,Data Fusion of Small Sample Flying Test Data and Big Sample Simulation Test Data Based on Equivalent Sample for Equipment Efficiency Evaluation,"Ning,  Xiaolei; Wu,  Yingxia; Zhang,  Hailin; Zhao,  Xin",Springer,2016
,1,Big data or big brother? Rob Budden describes how banks are making more use of information to build up detailed profiles of their customers and to combat fraud,unknown,TOTAL PUBLISHING,2014
,2,BIG DATA FOR BIG CITIES Moovit has created the Waze of public transit. Is this the app that can beat urban congestion?,"Ohnsman,  Alan",FORBES MAGAZINE,2017
,3,Big Data Management Platforms: Architecting Heterogeneous Solutions,"Chandran, R.",The Data Warehouse Institute,2013
,4,Big Data: Mining for meaning How data mining is bringing order to chaos,unknown,EOLAS,2011
,5,Big data in the big city,"Lido, Catherine",BRITISH PSYCHOLOGICAL SOC,2019
,6,Big data and natural disasters: New approaches for spatial and temporal massive data analysis,"Martínez–Álvarez, F.; Morales–Esteban, A.","Elsevier Science B.V., Amsterdam.",2019
,7,Big Data and Health Research—The Governance Challenges in a Mixed Data Economy,"Holm, S. r.; Ploug, T.",Springer Science + Business Media,2017
,8,Big Benefit from Big Data: A Real-Time Data Product Creation and Distribution System,"Haderman, M.D.; Pasch, A.N.; Dye, T.S.; Chan, A.C.; Miller, D.S.; White, J.E.; Dickerson, P.G.",Kluwer Academic Publishers,2014
,9,Big Data Not Yet Big Enough to Determine the Influence of Intracranial Pressure Monitoring on Outcome in Children With Severe Traumatic Brain Injury,"Horvat, C.M.; Kochanek, P.M.",American Medical Association,2017
,10,Big data and false discovery: analyses of bibliometric indicators from large data sets,"Prathap, G.",Springer Science + Business Media,2014
,11,Big Data and Collaboration Research: Creating Real Big Data,"Zhu, H.",IEEE,2018
,12,Big science and big data in nephrology,"Saez-Rodriguez, Julio; Rinschen, Markus M.; Floege, Jürgen; Kramann, Rafael","Elsevier Science B.V., Amsterdam",2019
,13,"BIG DATA, BIG QUESTIONS The smart-city movement raises serious concerns about who controls the information","Marshall, A.",BELLEROPHON PUBLICATIONS INC,2014
,14,Big Data Analytics in a Connected World,"Stockinger,  Kurt; van Lingen,  Frank; Valente,  Marco",The Data Warehouse Institute,2015
,15,Big Data Stream Anomaly Detection with Spectral Method for UWB Radar Data,"Yun,  Ying; Wang,  Wei",Springer,2014
,16,Data integrity verification of the outsourced big data in the cloud environment: A survey,"Zhou, Lei; Fu, Anmin; Yu, Shui; Su, Mang; Kuang, Boyu","Elsevier Science B.V., Amsterdam",2018
,17,Big data use cases: from the call centre to the IoT European Communications sought out some examples of the data sets that operators are using in their day-to-day operations,unknown,SJP Business Media,2015
,18,Big Data Shocks: An Introduction to Big Data for Librarians and Information Professionals. (2018),"Erlandson, Rene J.",Taylor & Francis,2018
,19,"Big City, Big Data","Kitner,  Kathi R.; de Wet,  Thea","ASSOCIATION FOR COMPUTING MACHINERY, INC.",2015
,20,Big opportunities from big data,"Trim, H.",Editions,2014
,21,Big Data Research Requires a Big Role for Primary Care,"Mainous,  Arch G.; Phillips,  William R.",SOCIETY OF TEACHERS OF FAMILY MEDICINE,2016
,22,Big Data and medicine: a big deal?,"Mayer‐Schönberger, V.; Ingelsson, E.",John Wiley & Sons Ltd,2018
,23,Big Analogue Data: The Biggest of Big Data,unknown,FINDLAY PUBLICATIONS LTD,2014
,24,Big Data in the Big Easy: How Social Networks can Improve the Place for Young People in Cities,"Shirtcliff,  Ben",UNIVERSITY OF WISCONSIN PRESS,2015
,25,Big Data Pays Off Big for Illinois Fabricator,unknown,PRECISION METALFORMING,2016
,26,Data use: Data-driven decision making takes a big-picture view of the needs of teachers and students,"Bernhardt, V.L.",NSDC NATIONAL STAFF DEVELOPMENT COUNCIL,2009
,27,Data Science Foundations: Geometry and Topology of Complex Hierarchic Systems and Big Data Analytics.,"Yu, Kaixian",Taylor & Francis,2019
,28,BIG IS BEST Big isn't always best in the world of data - Jay Inamdar explains more,unknown,INSTITUE OF CREDIT MANAGEMENT,2017
,29,Big Data: Next-Generation Machines for Big Science,"Hack, James J.; Papka, Michael E.",IEEE,2015
,30,BIG-DATA APPROACHES TO PROTEIN STRUCTURE PREDICTION Metagenomics sequence data give protein structure prediction a boost,"Söding,  J.",AMERICAN ASSOCIATION FOR THE ADVANCEMENT OF SCIENCE,2017
,31,Big–deep–smart data in imaging for guiding materials design,"Kalinin, S. V.; Sumpter, B. G.; Archibald, R. K.",Nature Publishing Group,2015
,32,"Big Data, Big Energy","Wogan, D.",Nature Publishing Group,2013
,33,Big Questions: Digital Preservation of Big Data in Government,"Larson, Emily",SOCIETY OF AMERICAN ARCHIVISTS,2020
,34,"Big Science and Big Data in Biology: From the International Geophysical Year through the International Biological Program to the Long Term Ecological Research (LTER) Network, 1957-Present","Aronova, E.; Baker, K.S.; Oreskes, N.",UNIVERSITY OF CALIFORNIA PRESS,2010
,35,Big data is a big deal for call centers,unknown,CXO MEDIA,2012
,36,Big Data is a big deal but how much data do we need?,"Askitas, N.",Springer Science + Business Media,2016
,37,"Big Data Driven Agriculture: Big Data Analytics in Plant Breeding, Genomics, and the Use of Remote Sensing Technologies to Advance Crop Productivity","Shakoor, Nadia; Northrup, Daniel; Murray, Seth; Mockler, Todd C.",John Wiley & Sons Ltd,2019
,38,Big data needn't be a big headache: How to tackle mind-blowing amounts of information,unknown,Emerald Group Publishing Limited,2012
,39,"Big Data, Big Research","Anoushiravani, A. A.; Patton, J.; Sayeed, Z.; El-Othmani, M. M.; Saleh, K. J.",Elsevier,2016
,40,Big Data — Big Chance für Controller?,"Schäffer, U.",Springer Science + Business Media,2016
,41,"Big Data, Big Problems: A Healthcare Perspective","Househ,  Mowafa S.; Aldosari,  Bakheet; Alanazi,  Abdullah; Kushniruk,  Andre W.; Borycki,  Elizabeth M.",IOS Press,2017
,42,"Big Data, Served Fast: Oracle teams with Hewlett-Packard for a high-performance data warehouse appliance",unknown,"CMP PUBLICATIONS, INC.",2008
,43,Big Data and Bad Data: On the Sensitivity of Security Policy to Imperfect Information,"Graves,  James T.; Acquisti,  Alessandro; Christin,  Nicolas",The University of Chicago Press,2016
,44,Big Data and Cloud Computing: New Wine or just New Bottles?,"Agrawal, D.; Das, S.; El Abbadi, A.",New York; Association for Computing Machinery,2010
,45,Big Brother's Little Helpers: How ChoicePoint and Other Commercial Data Brokers Collect and Package Your Data for Law Enforcement,"Hoofnagle, C. J.",NORTH CAROLINA JOURNAL OF INTERNATIONAL LAW,2004
,46,Big Data Applications Using Workflows for Data Parallel Computing,"Wang, J.; Crawl, D.; Altintas, I.; Li, W.",IEEE,2014
,47,Data field for mining big data,"Wang, Shuliang; Li, Ying; Wang, Dakui",Taylor & Francis,2016
,48,"Big Data, Little Data, No Data: Scholarship in the Networked World","Greenberg, Jane",Taylor & Francis,2016
,49,Big data An introduction to ``big data'' as a technique to gain competitive advantage from a company's biggest IT asset: data,unknown,ISA INSTRUMENT SOCIETY OF AMERICA,2013
,50,Big Data Management in Earth Observation: The German satellite data archive at the German Aerospace Center,"Kiemle, S.; Molch, K.; Schropp, S.; Weiland, N.; Mikusch, E.",IEEE,2016
,51,"Big data analytics need new solutions No sector of the economy generates more data than manufacturing, and thus more opportunities to derive benefits from data analytics","Risse,  Michael",ISA INSTRUMENT SOCIETY OF AMERICA,2017
,52,Big data to smart data in Alzheimer's disease: The brain health modeling initiative to foster actionable knowledge,"Geerts, H.; Dacks, P. A.; Devanarayan, V.; Haas, M.; Khachaturian, Z. S.; Gordon, M. F.; Maudsley, S.; Romero, K.; Stephenson, D.",ELSEVIER SCIENCE B.V. AMSTERDAM,2016
,53,"Big data, data science, and big contributions","Broome, M. E.","Elsevier Science B.V., Amsterdam",2016
,54,Big data gets big help Law and policy literacies for text data mining,"Courtney, Kyle K.; Samberg, Rachael; Vollmer, Timothy",ALA AMERICAN LIBRARY ASSOCIATION,2020
,55,DATA ANALYTICS AND THE SMART FACTORY Big data is becoming a strategic manufacturing tool,"Weber, Austin",HITCHCOCK PUBLISHING COMPANY,2019
,56,Big Data and Cloud Computing Have Moved into Design Design engineers are using big data to gather product use information from the field and circulate it into design decisions. Much of that data is now processed in the cloud,"Spiegel,  Rob",REED BUSINESS INFORMATION,2016
,57,"""Big Data"" Analysis: Putting the Data Cart Before the Modelling Horse?","Barr, G. D.; Stewart, T. J.; Kantor, B. S.",John Wiley & Sons Ltd,2018
,58,Big Data and Predictive Analytics in Fire Risk Using Weather Data,"Agarwal, Puneet; Tang, Junlin; Narayanan, Adithya Narayanan Lakshmi; Zhuang, Jun",John Wiley & Sons Ltd,2020
,59,Big data Preparing for the future of `smart water' and `big data',"Slawecki,  Tad; McMaster,  Cecil; Lodhi,  Mujib; Horvath,  Eric; Hornback,  Chris; Nakamura,  Brianne",WATER ENVIRONMENT FEDERATION,2016
,60,Data Mining for Big Data Macroeconomic Forecasting: A Complementary Approach to Factor Models,"Brandl, B.; Keber, C.; Schuster, M. G.","Berlin; London:; Springer,",2005
,61,"Big data, traditional data and the tradeoffs between prediction and causality in highway-safety analysis","Mannering, Fred; Bhat, Chandra R.; Shankar, Venky; Abdel-Aty, Mohamed",Elsevier,2020
,62,Handling big dimensions in distributed data warehouses using the DWS technique,"Costa, M.; Madeira, H.","New York?:; Association for Computing Machinery,",2005
,63,Data protection in a big data society. Ideas for a future regulation,"Mantelero, Alessandro; Vaciago, Giuseppe","Elsevier Science B. V., Amsterdam",2015
,64,"Big Warehouse, Big Decisions: There's more to purchasing storage for the large and very large data warehouse than just buying disk","Madsen, M.",DATABASE PROGRAMMING AND DESIGN,1998
,65,BIG DATA AND BIG CITIES: THE PROMISES AND LIMITATIONS OF IMPROVED MEASURES OF URBAN LIFE,"Glaeser,  Edward L.; Kominers,  Scott Duke; Luca,  Michael; Naik,  Nikhil",NATIONAL BUREAU OF ECONOMIC RESEARCH INC,2015
,66,Big Data Panel at SIGDSS Pre-ICIS Conference 2013: A Swiss-Army Knife? The Profile of a Data Scientist,"Dinter, B.; Douglas, D.; Chiang, R.H.L.; Mari, F.; Ram, S.; Schoder, D.",Cham; Springer,2015
,67,Big forensic data management in heterogeneous distributed systems: quick analysis of multimedia forensic data,"Quick, Darren; Choo, Kim‐Kwang Raymond","John Wiley & Sons, Ltd",2017
,68,Big data management: implications of dynamic capabilities and data incubator,"Shams, S.M. Riad; Solima, Ludovico",Emerald Group Publishing Limited,2019
,69,Big data presents big harms for people with substance use disorders,unknown,"JOHN WILEY & SONS, LTD",2017
,70,"Big data, big opportunities",unknown,BRITISH VETERINARY ASSOCIATION,2016
,71,Data-driven innovation: switching the perspective on Big Data,"Trabucchi, Daniel; Buganza, Tommaso",Emerald Group Publishing Limited,2019
,72,DATA ANALYTICS AND THE SMART FACTORY Big data is becoming a strategic manufacturing tool,"Weber, Austin",HITCHCOCK PUBLISHING COMPANY,2019
,73,"Data, Big Data, and Metadata in Anesthesiology","Levin, Matthew A.; Wanderer, Jonathan P.; Ehrenfeld, Jesse M.","Lippincott, Williams & Wilkins",2015
,74,Data Flow: Inexpensive third-party data and mathematical models now allow insurers to underwrite small and midsize commercial accounts as thoroughly as big risks and personal lines,unknown,AM BEST CO,2005
,75,Big Data Smart Socket (BDSS): a system that abstracts data transfer habits from end users,"Watts, N. A.; Feltus, F. A.",Oxford University Press,2017
,76,"Big Data, Big Problems: Emerging Issues in the Ethics of Data Science and Journalism","Fairfield, J.; Shtein, H.",Taylor & Francis,2014
,77,Data science in education: big data and learning analytics,"Klašnja‐Milićević, Aleksandra; Ivanović, Mirjana; Budimac, Zoran","John Wiley & Sons, Ltd",2017
,78,Big data and data sharing: Opportunities for the urgent challenges in cardiovascular disease,"Carbone, Federico; Montecucco, Fabrizio",Wiley-Blackwell,2020
,79,Big Data The Data Revolution Here's what you need to know to get the edge Big Data and machine learning can offer your business,"Buss,  Dale",CHIEF EXECUTIVE GROUP L.P.,2016
,80,"Big Data, Big Problems","Shaha, S. H.; Sayeed, Z.; Anoushiravani, A. A.; El-Othmani, M. M.; Saleh, K. J.",Elsevier,2016
,81,Big Cheese Needs Bigger Data Foremost Farms doubles production and adds data acquisition and historian functions to its SCADA/HMI system,unknown,PUTMAN PUBLICATIONS,2016
,82,"Big data is a big deal in aerospace and defense, according to buzz at recent industry conferences",unknown,MCGRAW-HILL DATA SERVICES,2017
,83,Big Data Big Data meets Minority Report,unknown,REED BUSINESS INFORMATION PTY LTD,2015
,84,"Big Data, Little Data: Scholarship in the Networked World","Calvert, Philip",Emerald Group Publishing Limited,2017
,85,Data on the move: Big improvement in data transmission between HQ and employees in the field,"Sammueller, R.",unknown,1996
,86,"Data science, big data and granular mining","Pal, S. K.; Meher, S. K.; Skowron, A.","Elsevier Science B.V., Amsterdam.",2015
,87,"Big Data, Little Data, No Data: Scholarship in the Networked World by Christine L. Borgman. Cambridge, MA: MIT Press, 2015. 400 pp. $32 (hardcover). (ISBN 9780262028561).","Tenopir, C.",John Wiley & Sons Ltd,2016
,88,"Data Capture, Labelling, ID and Coding Data capture - not just for the big end of town",unknown,THOMSON PUBLICATIONS AUSTRALIA,2002
,89,Big Data Big Data digs into the mining industry,unknown,REED BUSINESS INFORMATION PTY LTD,2016
,90,Big Trials or Big Data,"King, S. B.","ELSEVIER SCIENCE B. V., AMSTERDAM",2016
,91,Big data to smart data in Alzheimer's disease: Real-world examples of advanced modeling and simulation,"Haas, M.; Stephenson, D.; Romero, K.; Gordon, M. F.; Zach, N.; Geerts, H.",ELSEVIER SCIENCE B.V. AMSTERDAM,2016
,92,BIG DATA: The harnessing of `big data' by companies is one way to improve operations and product development,unknown,BRW MEDIA,2011
,93,Data Envelopment Analysis and Big Data: Revisit with a Faster Method,"Khezrimotlagh, Dariush; Zhu, Joe",Kluwer Academic Publishers,2020
,94,"Big Data Analytics, Big Financial Institutions, and Big Money Fraud Litigation","Debenham,  David",CARSWELL,2016
,95,"Big Data, Big Brother, Big Money","Lesk, M.",IEEE COMPUTER SOCIETY,2013
,96,Big-data: transformation from heterogeneous data to semantically-enriched simplified data,"Malik, K. R.",Springer Science + Business Media,2016
,97,Big Deal In BI HP's fledgling data warehousing system gets a big lift from Wal-Mart in a competitive market,unknown,"CMP PUBLICATIONS, INC.",2007
,98,"Big Blue now Big Green: IBM plan to cut data centre power consumption by 80 per cent sets example, say experts",unknown,VNU BUSINESS PUBLICATIONS,2007
,99,Big data in epilepsy: Clinical and research considerations. Report from the Epilepsy Big Data Task Force of the International League Against Epilepsy,"Lhatoo, Samden D.; Bernasconi, Neda; Blumcke, Ingmar; Braun, Kees; Buchhalter, Jeffrey; Denaxas, Spiros; Galanopoulou, Aristea; Josephson, Colin; Kobow, Katja; Lowenstein, Daniel; Ryvlin, Philippe; Schulze‐Bonhage, Andreas; Sahoo, Satya S.; Thom, Maria; T",John Wiley & Sons Ltd,2020
,100,Big Opportunities and Big Concerns of Big Data in Education,"Wang, Y.",SPRINGER SCIENCE + BUSINESS MEDIA,2016
,1,"Data, Big Data, and Metadata in Anesthesiology","Levin,  Matthew A.; Wanderer,  Jonathan P.; Ehrenfeld,  Jesse M.","Lippincott, Williams & Wilkins",2015
,2,Big Data in medical research and EU data protection law: challenges to the consent or anonymise approach,"Mostert, M.; Bredenoord, A. L.; Biesaart, M. C.; van Delden, J. J.",Nature Publishing Group,2016
,3,Data Processing Model to Perform Big Data Analytics in Hybrid Infrastructures,"Dos Anjos, Julio C. S.; Matteussi, Kassiano J.; De Souza, Paulo R. R.; Grabher, Gabriel J. A.; Borges, Guilherme A.; Barbosa, Jorge L. V.; Gonzalez, Gabriel V.; Leithardt, Valderi R. Q.; Geyer, Claudio F. R.",IEEE,2020
,4,Big Data in medical research and EU data protection law: challenges to the consent or anonymise approach,"Mostert, M.; Bredenoord, A. L.; Biesaart, M. C.; van Delden, J. J.",Nature Publishing Group,2016
,5,BIG DATA AND MULTIDIMENSIONAL ANALYSES WITH SPATIAL DATA,"Otrzasek, J.; Mueller, W.; Koszela, K.; Weres, J.; Przybyl, J.","Sofia, Bulgaria; STEF92 Technology Ltd.",2014
,6,"Big Data, Big Challenges","Clancy, Thomas R.; Reed, Laura",Lippincott Williams & Wilkins,2016
,7,"Big data, big opportunities","Laurance, W. F.; Achard, F.; Peedell, S.; Schmitt, S.",Ecology Society of America,2016
,8,Big data or small data? A methodological review of sustainable tourism,"Xu, Feifei; Nash, Nicholas; Whitmarsh, Lorraine",Taylor & Francis,2020
,9,Big data or small data? A methodological review of sustainable tourism,"Xu, Feifei; Nash, Nicholas; Whitmarsh, Lorraine",Taylor & Francis,2020
,10,BIG BUCKS ARE BACKING BIG DATA'S LOBBYING EFFORTS ON CAPITOL HILL,"Kaye, Kate","Crain Communications, Inc.",2013
,11,Big Data: The Next Big Thing in Innovation,"Gobble, MaryAnne M.",INDUSTRIAL RESEARCH INSTITUTE INC,2013
,12,Big Data Meet Green Challenges: Greening Big Data,"Wu, J.; Guo, S.; Li, J.; Zeng, D.",THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2016
,13,Big Data Meet Green Challenges: Big Data Toward Green Applications,"Wu, J.; Guo, S.; Li, J.; Zeng, D.",THE INSTITUTE OF ELECTRICAL AND ELECTRONICS AND ELECTRONICS ENGINEERS,2016
,14,Big Data and Occupants' Behavior in Built Environments: Introducing a Game-Based Data Collection Method,"Poplin, Alenka",AMERICAN SOCIETY OF CIVIL ENGINEERS,2020
,15,Big Data in Plant Science: Resources and Data Mining Tools for Plant Genomics and Proteomics,"Popescu,  George V.; Noutsos,  Christos; Popescu,  Sorina C.",HUMANA PRESS,2016
,16,Big data-based multimedia transcoding method and its application in multimedia data mining-based smart transportation and telemedicine,"Zhu, D.",Springer Science + Business Media,2016
,17,"Big_Sleep™ DVD/Blu-ray distributed by Video Data Bank, 2015","Farbowitz, Jonathan",Association of Moving Image Archivists,2019
,18,Big Data in Practice: A Study on Cloud Data Collection and Storage Services,"Wang,  Chin-Wei; Chang,  Shuchih Ernest",IOS Press,2016
,19,"Market-Data Metamorphosis A difficult economy is fueling big changes in the market-data space as end users want more cost effective, streamlined solutions and vendors are charting a new course to revitalize business",unknown,GRALLA PUBLICATIONS,2003
,20,"Data Capture, Labelling, ID and Coding Data capture - not just for the big end of town",unknown,REED BUSINESS INFORMATION,2002
,21,"BIG DATA, BIG OPPORTUNITY As innovations in artificial intelligence become increasingly essential to the success of oil and gas companies, the need for companies to protect their inventions grows",unknown,HART PUBLICATIONS INC.,2020
,22,Big data in IR: operator preferences for discrete data field templates,"Eifler, A.; Shah, R.; Hwang, G.; Hwang, W.; Arendt, V.; Hofmann, L.",ELSEVIER SCIENCE B.V. AMSTERDAM,2016
,23,A data model-independent approach to big research data integration,"Bartalesi, Valentina; Meghini, Carlo; Thanos, Costantino",INDERSCIENCE,2019
,24,"Navigating Big Data with High-Throughput, Energy-Efficient Data Partitioning","Wu, L.; Barker, R.J.; Kim, M.A.; Ross, K.A.",New York; Association for Computing Machinery,2013
,25,Accelerating Business-Centric Data Preparation in a Big Data World,"Bardoliwalla, N.",The Data Warehouse Institute,2014
,26,Linking big models to big data: efficient ecosystem model calibration through Bayesian model emulation,Istem Fer; Ryan Kelly; Paul R. Moorcroft; Andrew D. Richardson; Elizabeth M. Cowdery; Michael C. Dietze,Copernicus GmbH on behalf of the European Geosciences Union,2018
,27,Augmenting Data Warehouses with Big Data,"Jukić, Nenad; Sharma, Abhishek; Nestorov, Svetlozar; Jukić, Boris",AUERBACH PUBLISHERS INC,2015
,28,Dynamic Data Migration in Hybrid Main Memories for In-Memory Big Data Storage,"Mai, H.T.; Park, K.H.; Lee, H.S.; Kim, C.S.; Lee, M.; Hur, S.J.",ELECTRONICS AND TELECOMMUNICATIONS RESEARCH,2014
,29,"Navigating Big Data with High-Throughput, Energy-Efficient Data Partitioning","Wu, L.; Barker, R.J.; Kim, M.A.; Ross, K.A.",IEEE Computer Society; 1999,2013
,30,A Data-Driven Decision Making with Big Data Analysis on DNS Log,"Jung,  Euihyun",Springer,2017
,31,"Open Data: Can It Prevent Research Fraud, Promote Reproducibility, and Enable Big Data Analytics In Clinical Research?","Myers, P. O.","Elsevier Science B.V., Amsterdam.",2015
,32,How big data reveals the little things that matter. Online profiling tools can create connected data that lets you see your target market as human beings and not just numbers says YouGov's Freddie Savers,"Savers, F.",CENTAUR MEDIA PLC,2014
,33,"Policing, crime and ‘big data’; towards a critique of the moral economy of stochastic governance","Sanders, C. B.; Sheptycki, J.",Springer Science + Business Media,2017
,34,"Preventing Big Data Pains for Precision Medicine The prescription is a cybersecurity plan that covers all smart, connected devices to safeguard patient privacy and data integrity","Domas,  Stephanie; McMillan,  Nancy",AFCEA ARMED FORCES COMMUNICATIONS AND,2017
,35,Small data in the era of big data,"Kitchin, R.; Lauriault, T. P.",Springer Science + Business Media,2015
,36,The big data public and its problems: Big data and the structural transformation of the public sphere,Tauel Harper,Sage Publications,2017
,37,"New data strategies: nonprobability sampling, mobile, big data","Link, Michael",Emerald Group Publishing Limited,2018
,38,How Big Data Confers Market Power to Big Tech: Leveraging the Perspective of Data Science,"Santesteban, Cristian; Longpre, Shayne",Federal Legal Publications; 1999,2020
,39,RETHINK Big: European Roadmap for Hardware and Networking Optimizations for Big Data,"Alioto,  Gina; Carpenter,  Paul; Cristal,  Adrián; Unsal,  Osman; Leich,  Marcus; Avare,  Christophe",IEEE Computer Society,2017
,40,Maximum Data-Resolution Efficiency for Fog-Computing Supported Spatial Big Data Processing in Disaster Scenarios,unknown,"THE IEEE, INC.",2019
,41,THINKING REALLY BIG ABOUT DATA,"Hagland, M.","HEALTH DATA ANALYSIS, INC.",2013
,42,Addressing the Privacy Issues of Big Data,"Watson, H.J.",The Data Warehouse Institute,2014
,43,From Big to Smart Data: Iterative ensemble filter for noise filtering in Big Data classification,"García‐Gil, Diego; Luque‐Sánchez, Francisco; Luengo, Julián; García, Salvador; Herrera, Francisco","John Wiley & Sons, Ltd",2019
,44,Prescription Data in Australia: How Useful is this ‘Big' Data?,"Kim, H.; Calcino, L.; Calcino, G.","Elsevier Science B.V., Amsterdam",2016
,45,Preconditioned Data Sparsification for Big Data With Applications to PCA and K-Means,"Pourkamali-Anaraki,  F.; Becker,  S.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2017
,46,The Big Picture: Divide and Combine to Conquer Big Data,"Lazar, Nicole",Taylor and Francis,2018
